,tweet_id,text,query,user_id,user_name,follower_count,user_tweet_count,likes,retweets,location_name,latitude,longitude,user_location,date
2513,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,7.50E+17,,2368,3555,0,26893,,NA,NA,,1/6/21
2514,1.35E+18,rep adam kinzinger r now calling the president a coward on cnn he calls the insurrection a coup,president,1.31E+18,,160,5723,0,228,,NA,NA,USA,1/6/21
2515,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,2512894441,,50,997,0,26893,,NA,NA,,1/6/21
2516,1.35E+18,as senators were hustled into the capitol basement by uniformed police officers senator mitt romney republican of utah summoned a reporter this is what the president has caused today this insurrection romney said,president,153579373,,52,2211,0,2590,,NA,NA,,1/6/21
2517,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,485358278,,19,1713,0,26893,,NA,NA,,1/6/21
2518,1.35E+18,anyone elected to the house or senate who is challenging the results of the presidential election in congress are part of this attempted coup inspired by the president and they should resign this is an insurrection,president,29355693,,505,9126,0,2885,,NA,NA,,1/6/21
2519,1.35E+18,as senators were hustled into the capitol basement by uniformed police officers senator mitt romney republican of utah summoned a reporter this is what the president has caused today this insurrection romney said,president,2500176772,,199,4506,0,2590,,NA,NA,,1/6/21
2520,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,768497641,,86,1025,0,26893,,NA,NA,,1/6/21
2521,1.35E+18,breaking republican senator mitt romney blames president trump for insurrection via jonathan martin of the new york times,president,3229108261,,3555,144606,0,909,,NA,NA,,1/6/21
2522,1.35E+18,to be clear the textbook line will read on january 6 a violent mob launched a putsch against the united states government supported by thenpresidenttrump the section title will be the january insurrection and we can only hope it isnt followed by civil war 2021,president,20808856,,846,24884,0,18,,NA,NA,NV,1/6/21
2523,1.35E+18,rep adam kinzinger r now calling the president a coward on cnn he calls the insurrection a coup,president,1733741,,2341,26075,0,228,,NA,NA,MA,1/6/21
2524,1.35E+18,anyone elected to the house or senate who is challenging the results of the presidential election in congress are part of this attempted coup inspired by the president and they should resign this is an insurrection,president,1.30E+18,,53,714,0,2885,,NA,NA,,1/6/21
2525,1.35E+18,mitt romney this is what the president has caused today this insurrection per,president,8.89E+17,,226,19283,0,274,,NA,NA,,1/6/21
2526,1.35E+18,the leaders of this insurrection should be arrested including but not limited to the president his offspring americas mayor and senators cruz and hawley,president,47520650,,542,46442,0,98,,NA,NA,,1/6/21
2527,1.35E+18,the president and his republican allies have incited an armed insurrection against the american constitution,president,1323577818,,6,202,0,1,,NA,NA,,1/6/21
2528,1.35E+18,happening where leaders country were conducting appropriate transfer of power just couple hours ago our president incited a mob to raid the halls of our democracy trump said he would walk with them this would be what a coup insurrection if not usa wed be calling it that,president,18626011,,64,19702,0,223,,NA,NA,CO,1/6/21
2529,1.35E+18,rep adam kinzinger r now calling the president a coward on cnn he calls the insurrection a coup,president,14336283,,498,14393,0,228,,NA,NA,DC,1/6/21
2530,1.35E+18,the house should immediately pass new articles of impeachment against the president by the end of today for inciting insurrection against the united states congress,president,480054373,,90,4601,0,1831,,NA,NA,MD,1/6/21
2531,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,107455848,,42,1335,0,26893,,NA,NA,RI,1/6/21
2532,1.35E+18,as senators were hustled into the capitol basement by uniformed police officers senator mitt romney republican of utah summoned a reporter this is what the president has caused today this insurrection romney said,president,23482877,,38,2700,0,2590,,NA,NA,,1/6/21
2533,1.35E+18,happening where leaders country were conducting appropriate transfer of power just couple hours ago our president incited a mob to raid the halls of our democracy trump said he would walk with them this would be what a coup insurrection if not usa wed be calling it that,president,69040151,,50,1335,0,223,,NA,NA,,1/6/21
2534,1.35E+18,anyone elected to the house or senate who is challenging the results of the presidential election in congress are part of this attempted coup inspired by the president and they should resign this is an insurrection,president,146603000,,310,25900,0,2885,,NA,NA,ME,1/6/21
2535,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,2416552112,,71,1082,0,26893,,NA,NA,CA,1/6/21
2536,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,23843111,,112,3505,0,26893,,NA,NA,MA,1/6/21
2537,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,108009714,,140,4090,0,26893,,NA,NA,,1/6/21
2538,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,467024694,,1345,202991,0,26893,,NA,NA,FL,1/6/21
2539,1.35E+18,the house should immediately pass new articles of impeachment against the president by the end of today for inciting insurrection against the united states congress,president,2264873724,,254,8258,0,1831,,NA,NA,,1/6/21
2540,1.35E+18,the president and his republican allies have incited an armed insurrection against our government,president,608797194,,286,4658,0,4138,,NA,NA,TN,1/6/21
2541,1.35E+18,i cannot overstate this the president is directing a coup attempt insurrectionists have forced the 2nd 3rd and 4th persons in the line of succession to shelter in place,president,886170938,,195,22984,0,1103,,NA,NA,,1/6/21
2542,1.35E+18,the house should immediately pass new articles of impeachment against the president by the end of today for inciting insurrection against the united states congress,president,16590461,,82,24619,0,1831,,NA,NA,,1/6/21
2543,1.35E+18,as senators were hustled into the capitol basement by uniformed police officers senator mitt romney republican of utah summoned a reporter this is what the president has caused today this insurrection romney said,president,7.97E+17,,101,47830,0,2590,,NA,NA,GA,1/6/21
2544,1.35E+18,as senators were hustled into the capitol basement by uniformed police officers senator mitt romney republican of utah summoned a reporter this is what the president has caused today this insurrection romney said,president,3299740918,,81,270,0,2590,,NA,NA,MA,1/6/21
2545,1.35E+18,anyone elected to the house or senate who is challenging the results of the presidential election in congress are part of this attempted coup inspired by the president and they should resign this is an insurrection,president,238648541,,1227,13517,0,2885,,NA,NA,,1/6/21
2546,1.35E+18,rep adam kinzinger r now calling the president a coward on cnn he calls the insurrection a coup,president,30953,,1578,52838,0,228,,NA,NA,,1/6/21
2547,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,276218837,,218,6825,0,26893,,NA,NA,,1/6/21
2548,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,146991815,,1679,14733,0,26893,,NA,NA,,1/6/21
2549,1.35E+18,anyone elected to the house or senate who is challenging the results of the presidential election in congress are part of this attempted coup inspired by the president and they should resign this is an insurrection,president,2498749587,,6,1316,0,2885,,NA,NA,,1/6/21
2550,1.35E+18,the house should immediately pass new articles of impeachment against the president by the end of today for inciting insurrection against the united states congress,president,7.41E+17,,10698,128021,0,1831,,NA,NA,,1/6/21
2551,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,1.20E+18,,275,557,0,26893,,NA,NA,IA,1/6/21
2552,1.35E+18,as senators were hustled into the capitol basement by uniformed police officers senator mitt romney republican of utah summoned a reporter this is what the president has caused today this insurrection romney said,president,2480479362,,328,4260,0,2590,,NA,NA,,1/6/21
2553,1.35E+18,anyone elected to the house or senate who is challenging the results of the presidential election in congress are part of this attempted coup inspired by the president and they should resign this is an insurrection,president,3348548981,,388,33950,0,2885,,NA,NA,,1/6/21
